A3 ntdll!NtMakePermanentObject
A4 ntdll!ZwMakeTemporaryObject
A5 ntdll!NtMapCMFModule
A6 ntdll!NtMapUserPhysicalPages
A7 ntdll!NtMapUserPhysicalPagesScatter
A8 ntdll!NtMapViewOfSection
A9 ntdll!ZwModifyBootEntry
AA ntdll!NtModifyDriverEntry
AB ntdll!NtNotifyChangeDirectoryFile
AC ntdll!ZwNotifyChangeKey
AD ntdll!ZwNotifyChangeMultipleKeys
AE ntdll!ZwNotifyChangeSession
AF ntdll!ZwOpenDirectoryObject
B0 ntdll!NtOpenEnlistment
B1 ntdll!NtOpenEvent
B2 ntdll!ZwOpenEventPair
B3 ntdll!NtOpenFile
B4 ntdll!ZwOpenIoCompletion
B5 ntdll!NtOpenJobObject
B6 ntdll!NtOpenKey
B7 ntdll!ZwOpenKeyEx
B8 ntdll!NtOpenKeyedEvent
B9 ntdll!ZwOpenKeyTransacted
BA ntdll!ZwOpenKeyTransactedEx
BB ntdll!ZwOpenMutant
BC ntdll!NtOpenObjectAuditAlarm
BD ntdll!ZwOpenPrivateNamespace
BE ntdll!ZwOpenProcess
BF ntdll!NtOpenProcessToken
C0 ntdll!ZwOpenProcessTokenEx
C1 ntdll!ZwOpenResourceManager
C2 ntdll!ZwOpenSection
C3 ntdll!NtOpenSemaphore
C4 ntdll!ZwOpenSession
C5 ntdll!NtOpenSymbolicLinkObject
C6 ntdll!NtOpenThread
C7 ntdll!NtOpenThreadToken
C8 ntdll!ZwOpenThreadTokenEx
C9 ntdll!NtOpenTimer
CA ntdll!ZwOpenTransaction
CB ntdll!NtOpenTransactionManager
CC ntdll!ZwPlugPlayControl
CD ntdll!ZwPowerInformation
CE ntdll!ZwPrepareComplete
CF ntdll!ZwPrepareEnlistment
D0 ntdll!NtPrePrepareComplete
D1 ntdll!ZwPrePrepareEnlistment
D2 ntdll!NtPrivilegeCheck
D3 ntdll!ZwPrivilegedServiceAuditAlarm
D4 ntdll!NtPrivilegeObjectAuditAlarm
D5 ntdll!NtPropagationComplete
D6 ntdll!ZwPropagationFailed
D7 ntdll!ZwProtectVirtualMemory
D8 ntdll!NtPulseEvent
D9 ntdll!ZwQueryAttributesFile
DA ntdll!ZwQueryBootEntryOrder
DB ntdll!ZwQueryBootOptions
DC ntdll!ZwQueryDebugFilterState
DD ntdll!NtQueryDefaultLocale
DE ntdll!NtQueryDefaultUILanguage
DF ntdll!NtQueryDirectoryFile
E0 ntdll!NtQueryDirectoryObject
E1 ntdll!ZwQueryDriverEntryOrder
E2 ntdll!ZwQueryEaFile
E3 ntdll!ZwQueryEvent
E4 ntdll!ZwQueryFullAttributesFile
E5 ntdll!NtQueryInformationAtom
E6 ntdll!NtQueryInformationEnlistment
E7 ntdll!NtQueryInformationFile
E8 ntdll!NtQueryInformationJobObject
E9 ntdll!ZwQueryInformationPort
EA ntdll!NtQueryInformationProcess
EB ntdll!NtQueryInformationResourceManager
EC ntdll!NtQueryInformationThread
ED ntdll!ZwQueryInformationToken
EE ntdll!NtQueryInformationTransaction
EF ntdll!NtQueryInformationTransactionManager
F0 ntdll!ZwQueryInformationWorkerFactory
F1 ntdll!NtQueryInstallUILanguage
F2 ntdll!ZwQueryIntervalProfile
F3 ntdll!NtQueryIoCompletion
F4 ntdll!ZwQueryKey
F5 ntdll!NtQueryLicenseValue
F6 ntdll!ZwQueryMultipleValueKey
F7 ntdll!ZwQueryMutant
F8 ntdll!NtQueryObject
F9 ntdll!NtQueryOpenSubKeys
FA ntdll!ZwQueryOpenSubKeysEx
FB ntdll!ZwQueryPerformanceCounter
FC ntdll!ZwQueryPortInformationProcess
FD ntdll!ZwQueryQuotaInformationFile
FE ntdll!NtQuerySection
FF ntdll!NtQuerySecurityAttributesToken
100 ntdll!NtQuerySecurityObject
101 ntdll!ZwQuerySemaphore
102 ntdll!NtQuerySymbolicLinkObject
103 ntdll!ZwQuerySystemEnvironmentValue
104 ntdll!NtQuerySystemEnvironmentValueEx
105 ntdll!NtQuerySystemInformation
106 ntdll!NtQuerySystemInformationEx
107 ntdll!ZwQuerySystemTime
108 ntdll!ZwQueryTimer
109 ntdll!NtQueryTimerResolution
10A ntdll!NtQueryValueKey
10B ntdll!NtQueryVirtualMemory
