0x97 ntdll!ZwCreateKeyTransacted
0x98 ntdll!NtCreateKeyedEvent
0x99 ntdll!NtCreateMailslotFile
0x9A ntdll!NtCreateMutant
0x9B ntdll!ZwCreateNamedPipeFile
0x9C ntdll!NtCreatePagingFile
0x9D ntdll!ZwCreatePort
0x9E ntdll!ZwCreatePrivateNamespace
0x9F ntdll!ZwCreateProcess
0xA0 ntdll!ZwCreateProfile
0xA1 ntdll!NtCreateProfileEx
0xA2 ntdll!ZwCreateResourceManager
0xA3 ntdll!ZwCreateSemaphore
0xA4 ntdll!ZwCreateSymbolicLinkObject
0xA5 ntdll!ZwCreateThreadEx
0xA6 ntdll!NtCreateTimer
0xA7 ntdll!NtCreateToken
0xA8 ntdll!NtCreateTransaction
0xA9 ntdll!ZwCreateTransactionManager
0xAA ntdll!Nt
0xAB ntdll!NtCreateWaitablePort
0xAC ntdll!ZwCreateWorkerFactory
0xAD ntdll!NtDebugActiveProcess
0xAE ntdll!NtDebugContinue
0xAF ntdll!ZwDeleteAtom
0xB0 ntdll!ZwDeleteBootEntry
0xB1 ntdll!ZwDeleteDriverEntry
0xB2 ntdll!ZwDeleteFile
0xB3 ntdll!NtDeleteKey
0xB4 ntdll!NtDeleteObjectAuditAlarm
0xB5 ntdll!NtDeletePrivateNamespace
0xB6 ntdll!ZwDeleteValueKey
0xB7 ntdll!ZwDisableLastKnownGood
0xB8 ntdll!ZwDisplayString
0xB9 ntdll!ZwDrawText
0xBA ntdll!NtEnableLastKnownGood
0xBB ntdll!ZwEnumerateBootEntries
0xBC ntdll!NtEnumerateDriverEntries
0xBD ntdll!NtEnumerateSystemEnvironmentValuesEx
0xBE ntdll!ZwEnumerateTransactionObject
0xBF ntdll!ZwExtendSection
0xC0 ntdll!ZwFilterToken
0xC1 ntdll!NtFlushInstallUILanguage
0xC2 ntdll!ZwFlushInstructionCache
0xC3 ntdll!NtFlushKey
0xC4 ntdll!NtFlushProcessWriteBuffers
0xC5 ntdll!NtFlushVirtualMemory
0xC6 ntdll!ZwFlushWriteBuffer
0xC7 ntdll!ZwFreeUserPhysicalPages
0xC8 ntdll!ZwFreezeRegistry
0xC9 ntdll!NtFreezeTransactions
0xCA ntdll!ZwGetContextThread
0xCB ntdll!ZwGetCurrentProcessorNumber
0xCC ntdll!ZwGetDevicePowerState
0xCD ntdll!NtGetMUIRegistryInfo
0xCE ntdll!ZwGetNextProcess
0xCF ntdll!NtGetNextThread
0xD0 ntdll!ZwGetNlsSectionPtr
0xD1 ntdll!ZwGetNotificationResourceManager
0xD2 ntdll!NtGetPlugPlayEvent
0xD3 ntdll!NtGetWriteWatch
0xD4 ntdll!ZwImpersonateAnonymousToken
0xD5 ntdll!ZwImpersonateThread
0xD6 ntdll!ZwInitializeNlsFiles
0xD7 ntdll!NtInitializeRegistry
0xD8 ntdll!NtInitiatePowerAction
0xD9 ntdll!ZwIsSystemResumeAutomatic
0xDA ntdll!NtIsUILanguageComitted
0xDB ntdll!NtListenPort
0xDC ntdll!NtLoadDriver
0xDD ntdll!ZwLoadKey
0xDE ntdll!ZwLoadKey2
0xDF ntdll!ZwLoadKeyEx
0xE0 ntdll!ZwLockFile
0xE1 ntdll!ZwLockProductActivationKeys
0xE2 ntdll!NtLockRegistryKey
0xE3 ntdll!ZwLockVirtualMemory
0xE4 ntdll!ZwMakePermanentObject
0xE5 ntdll!ZwMakeTemporaryObject
0xE6 ntdll!NtMapCMFModule
0xE7 ntdll!ZwMapUserPhysicalPages
0xE8 ntdll!ZwModifyBootEntry
0xE9 ntdll!ZwModifyDriverEntry
0xEA ntdll!NtNotifyChangeDirectoryFile
0xEB ntdll!NtNotifyChangeKey
0xEC ntdll!ZwNotifyChangeMultipleKeys
0xED ntdll!NtNotifyChangeSession
0xEE ntdll!ZwOpenEnlistment
0xEF ntdll!ZwOpenEventPair
0xF0 ntdll!NtOpenIoCompletion
0xF1 ntdll!NtOpenJobObject
0xF2 ntdll!NtOpenKeyEx
0xF3 ntdll!ZwOpenKeyTransacted
0xF4 ntdll!ZwOpenKeyTransactedEx
0xF5 ntdll!NtOpenKeyedEvent
0xF6 ntdll!ZwOpenMutant
0xF7 ntdll!NtOpenObjectAuditAlarm
0xF8 ntdll!ZwOpenPrivateNamespace
0xF9 ntdll!ZwOpenProcessToken
0xFA ntdll!ZwOpenResourceManager
0xFB ntdll!NtOpenSemaphore
0xFC ntdll!NtOpenSession
0xFD ntdll!ZwOpenSymbolicLinkObject
0xFE ntdll!NtOpenThread
0xFF ntdll!NtOpenTimer
0x100 ntdll!NtOpenTransaction
0x101 ntdll!ZwOpenTransactionManager
0x102 ntdll!ZwPlugPlayControl
0x103 ntdll!NtPrePrepareComplete
0x104 ntdll!NtPrePrepareEnlistment
0x105 ntdll!ZwPrepareComplete
0x106 ntdll!NtPrepareEnlistment
0x107 ntdll!NtPrivilegeCheck
0x108 ntdll!ZwPrivilegeObjectAuditAlarm
0x109 ntdll!NtPrivilegedServiceAuditAlarm
0x10A ntdll!ZwPropagationComplete
0x10B ntdll!ZwPropagationFailed
0x10C ntdll!ZwPulseEvent
0x10D ntdll!ZwQueryBootEntryOrder
0x10E ntdll!NtQueryBootOptions
0x10F ntdll!ZwQueryDebugFilterState
0x110 ntdll!NtQueryDirectoryObject
0x111 ntdll!ZwQueryDriverEntryOrder
0x112 ntdll!NtQueryEaFile
0x113 ntdll!ZwQueryFullAttributesFile
0x114 ntdll!ZwQueryInformationAtom
0x115 ntdll!ZwQueryInformationEnlistment
0x116 ntdll!ZwQueryInformationJobObject
0x117 ntdll!ZwQueryInformationPort
0x118 ntdll!NtQueryInformationResourceManager
0x119 ntdll!ZwQueryInformationTransaction
0x11A ntdll!ZwQueryInformationTransactionManager
0x11B ntdll!ZwQueryInformationWorkerFactory
0x11C ntdll!NtQueryInstallUILanguage
0x11D ntdll!ZwQueryIntervalProfile
0x11E ntdll!ZwQueryIoCompletion
0x11F ntdll!NtQueryLicenseValue
0x120 ntdll!NtQueryMultipleValueKey
0x121 ntdll!ZwQueryMutant
0x122 ntdll!NtQueryOpenSubKeys
0x123 ntdll!ZwQueryOpenSubKeysEx
0x124 ntdll!NtQueryPortInformationProcess
0x125 ntdll!NtQueryQuotaInformationFile
0x126 ntdll!ZwQuerySecurityAttributesToken
0x127 ntdll!NtQuerySecurityObject
0x128 ntdll!NtQuerySemaphore
0x129 ntdll!NtQuerySymbolicLinkObject
0x12A ntdll!NtQuerySystemEnvironmentValue
0x12B ntdll!ZwQuerySystemEnvironmentValueEx
0x12C ntdll!NtQuerySystemInformationEx
0x12D ntdll!ZwQueryTimerResolution
0x12E ntdll!ZwQueueApcThreadEx
0x12F ntdll!ZwRaiseException
0x130 ntdll!ZwRaiseHardError
0x131 ntdll!NtReadOnlyEnlistment
0x132 ntdll!NtRecoverEnlistment
0x133 ntdll!ZwRecoverResourceManager
0x134 ntdll!NtRecoverTransactionManager
0x135 ntdll!NtRegisterProtocolAddressInformation
0x136 ntdll!ZwRegisterThreadTerminatePort
0x137 ntdll!NtReleaseKeyedEvent
0x138 ntdll!ZwReleaseWorkerFactoryWorker
0x139 ntdll!NtRemoveIoCompletionEx
0x13A ntdll!ZwRemoveProcessDebug
0x13B ntdll!ZwRenameKey
0x13C ntdll!NtRenameTransactionManager
0x13D ntdll!ZwReplaceKey
0x13E ntdll!NtReplacePartitionUnit
0x13F ntdll!NtReplyWaitReplyPort
0x140 ntdll!NtRequestPort
0x141 ntdll!ZwResetEvent
0x142 ntdll!ZwResetWriteWatch
0x143 ntdll!ZwRestoreKey
0x144 ntdll!NtResumeProcess
0x145 ntdll!NtRollbackComplete
0x146 ntdll!ZwRollbackEnlistment
0x147 ntdll!ZwRollbackTransaction
0x148 ntdll!ZwRollforwardTransactionManager
0x149 ntdll!NtSaveKey
0x14A ntdll!ZwSaveKeyEx
0x14B ntdll!NtSaveMergedKeys
0x14C ntdll!ZwSecureConnectPort
0x14D ntdll!NtSerializeBoot
0x14E ntdll!NtSetBootEntryOrder
0x14F ntdll!ZwSetBootOptions
0x150 ntdll!ZwSetContextThread
0x151 ntdll!ZwSetDebugFilterState
0x152 ntdll!NtSetDefaultHardErrorPort
0x153 ntdll!ZwSetDefaultLocale
0x154 ntdll!NtSetDefaultUILanguage
0x155 ntdll!ZwSetDriverEntryOrder
0x156 ntdll!NtSetEaFile
0x157 ntdll!ZwSetHighEventPair
0x158 ntdll!ZwSetHighWaitLowEventPair
0x159 ntdll!NtSetInformationDebugObject
0x15A ntdll!NtSetInformationEnlistment
0x15B ntdll!ZwSetInformationJobObject
0x15C ntdll!NtSetInformationKey
0x15D ntdll!ZwSetInformationResourceManager
0x15E ntdll!NtSetInformationToken
0x15F ntdll!ZwSetInformationTransaction
0x160 ntdll!NtSetInformationTransactionManager
0x161 ntdll!NtSetInformationWorkerFactory
0x162 ntdll!NtSetIntervalProfile
0x163 ntdll!ZwSetIoCompletion
0x164 ntdll!ZwSetIoCompletionEx
0x165 ntdll!NtSetLdtEntries
0x166 ntdll!NtSetLowEventPair
0x167 ntdll!ZwSetLowWaitHighEventPair
0x168 ntdll!NtSetQuotaInformationFile
0x169 ntdll!NtSetSecurityObject
0x16A ntdll!NtSetSystemEnvironmentValue
0x16B ntdll!ZwSetSystemEnvironmentValueEx
0x16C ntdll!NtSetSystemInformation
0x16D ntdll!ZwSetSystemPowerState
0x16E ntdll!ZwSetSystemTime
0x16F ntdll!NtSetThreadExecutionState
0x170 ntdll!NtSetTimerEx
0x171 ntdll!NtSetTimerResolution
0x172 ntdll!NtSetUuidSeed
0x173 ntdll!ZwSetVolumeInformationFile
0x174 ntdll!ZwShutdownSystem
0x175 ntdll!ZwShutdownWorkerFactory
0x176 ntdll!ZwSignalAndWaitForSingleObject
0x177 ntdll!ZwSinglePhaseReject
0x178 ntdll!NtStartProfile
0x179 ntdll!ZwStopProfile
0x17A ntdll!NtSuspendProcess
0x17B ntdll!NtSuspendThread
0x17C ntdll!NtSystemDebugControl
0x17D ntdll!NtTerminateJobObject
0x17E ntdll!ZwTestAlert
0x17F ntdll!ZwThawRegistry
0x180 ntdll!NtThawTransactions
0x181 ntdll!ZwTraceControl
0x182 ntdll!NtTranslateFilePath
0x183 ntdll!NtUmsThreadYield
0x184 ntdll!NtUnloadDriver
0x185 ntdll!NtUnloadKey
0x186 ntdll!ZwUnloadKey2
0x187 ntdll!NtUnloadKeyEx
0x188 ntdll!NtUnlockFile
0x189 ntdll!ZwUnlockVirtualMemory
0x18A ntdll!NtVdmControl
0x18B ntdll!ZwWaitForDebugEvent
0x18C ntdll!NtWaitForKeyedEvent
0x18D ntdll!NtWaitForWorkViaWorkerFactory
0x18E ntdll!NtWaitHighEventPair
0x18F ntdll!NtWaitLowEventPair
0x190 ntdll!NtWorkerFactoryWorkerReady
0x191 ntdll!NtWow64CsrClientConnectToServer
0x192 ntdll!NtWow64CsrIdentifyAlertableThread
0x193 ntdll!ZwWow64CsrClientCallServer
0x194 ntdll!ZwWow64CsrAllocateCaptureBuffer
0x195 ntdll!NtWow64CsrFreeCaptureBuffer
0x196 ntdll!ZwWow64CsrAllocateMessagePointer
0x197 ntdll!NtWow64CsrCaptureMessageBuffer
0x198 ntdll!ZwWow64CsrCaptureMessageString
0x199 ntdll!ZwWow64CsrGetProcessId
0x19A ntdll!NtWow64CsrVerifyRegion
0x19B ntdll!ZwWow64DebuggerCall
0x19C ntdll!ZwWow64GetCurrentProcessorNumberEx
0x19D ntdll!ZwWow64GetNativeSystemInformation
0x19E ntdll!ZwWow64InterlockedPopEntrySList
0x19F ntdll!NtWow64QueryInformationProcess64
0x1A0 ntdll!ZwWow64ReadVirtualMemory64
0x1A1 ntdll!ZwWow64WriteVirtualMemory64
0x1A2 ntdll!ZwWow64QueryVirtualMemory64
0x1A3 ntdll!ZwWow64CallFunction64
0x1000 IMM32!NtUserGetThreadState
0x1000 IMM32!NtUserGetThreadState
0x1000 USER32!NtUserGetThreadState
0x1000 USER32!NtUserGetThreadState
0x1001 USER32!NtUserPeekMessage
0x1001 USER32!NtUserPeekMessage
0x1002 IMM32!NtUserCallOneParam
0x1002 IMM32!NtUserCallOneParam
0x1002 USER32!NtUserCallOneParam
0x1002 USER32!NtUserCallOneParam
0x1003 USER32!NtUserGetKeyState
0x1003 USER32!NtUserGetKeyState
0x1004 USER32!NtUserInvalidateRect
0x1004 USER32!NtUserInvalidateRect
0x1005 USER32!NtUserCallNoParam
0x1005 USER32!NtUserCallNoParam
0x1006 USER32!NtUserGetMessage
0x1006 USER32!NtUserGetMessage
0x1007 USER32!NtUserMessageCall
0x1007 USER32!NtUserMessageCall
0x1008 GDI32!NtGdiBitBlt
0x1008 GDI32!NtGdiBitBlt
0x1009 GDI32!NtGdiGetCharSet
0x1009 GDI32!NtGdiGetCharSet
0x100A USER32!NtUserGetDC
0x100A USER32!NtUserGetDC
0x100B GDI32!NtGdiSelectBitmap
0x100B GDI32!NtGdiSelectBitmap
0x100C USER32!NtUserWaitMessage
0x100C USER32!NtUserWaitMessage
0x100D USER32!NtUserTranslateMessage
0x100D USER32!NtUserTranslateMessage
0x100E USER32!NtUserGetProp
0x100E USER32!NtUserGetProp
0x100F USER32!NtUserPostMessage
0x100F USER32!NtUserPostMessage
0x1010 IMM32!NtUserQueryWindow
0x1010 IMM32!NtUserQueryWindow
0x1010 USER32!NtUserQueryWindow
0x1010 USER32!NtUserQueryWindow
0x1011 USER32!NtUserTranslateAccelerator
0x1011 USER32!NtUserTranslateAccelerator
0x1012 GDI32!NtGdiFlush
0x1012 GDI32!NtGdiFlush
0x1013 USER32!NtUserRedrawWindow
0x1013 USER32!NtUserRedrawWindow
0x1014 USER32!NtUserWindowFromPoint
0x1014 USER32!NtUserWindowFromPoint
0x1015 USER32!NtUserCallMsgFilter
0x1015 USER32!NtUserCallMsgFilter
0x1016 USER32!NtUserValidateTimerCallback
0x1016 USER32!NtUserValidateTimerCallback
0x1017 USER32!NtUserBeginPaint
0x1017 USER32!NtUserBeginPaint
0x1018 USER32!NtUserSetTimer
0x1018 USER32!NtUserSetTimer
0x1019 USER32!NtUserEndPaint
0x1019 USER32!NtUserEndPaint
0x101A USER32!NtUserSetCursor
0x101A USER32!NtUserSetCursor
0x101B USER32!NtUserKillTimer
0x101B USER32!NtUserKillTimer
0x101C USER32!NtUserBuildHwndList
0x101C USER32!NtUserBuildHwndList
0x101D GDI32!NtUserSelectPalette
0x101D GDI32!NtUserSelectPalette
0x101E USER32!NtUserCallNextHookEx
0x101E USER32!NtUserCallNextHookEx
0x101F USER32!NtUserHideCaret
0x101F USER32!NtUserHideCaret
0x1020 GDI32!NtGdiIntersectClipRect
0x1020 GDI32!NtGdiIntersectClipRect
0x1021 USER32!NtUserCallHwndLock
0x1021 USER32!NtUserCallHwndLock
0x1022 USER32!NtUserGetProcessWindowStation
0x1022 USER32!NtUserGetProcessWindowStation
0x1023 GDI32!NtGdiDeleteObjectApp
0x1023 GDI32!NtGdiDeleteObjectApp
0x1024 USER32!NtUserSetWindowPos
